"Interval start","Tous les paquets"
0,8
0.5,4
1,34
1.5,7
2,21
2.5,75
3,25
3.5,5
4,8
4.5,10
5,135
5.5,58
6,30
6.5,17
7,22
7.5,7
8,6
8.5,42
9,50
9.5,41
10,4
10.5,5
11,12
11.5,9
12,6
12.5,28
13,9
13.5,29
14,15
14.5,17
15,73
15.5,54
16,119
16.5,30
17,13
17.5,11
18,13
18.5,8
19,13
19.5,6
20,44
20.5,13
21,23
21.5,11
22,14
22.5,65
23,47
23.5,9
24,30
24.5,82
25,57
25.5,48
26,68
26.5,12
27,15
27.5,9
28,8
28.5,4
29,70
29.5,5
30,49
30.5,16
31,67
31.5,18
32,14
32.5,8
33,80
33.5,204
34,201
34.5,143
35,202
35.5,89
36,20
36.5,23
37,80
37.5,117
38,82
38.5,34
39,11
39.5,1
